Fullname,DOB,Father,Mother,Gender,Password,Address,Phone,DOJ,Class,Category,Sub Category,Admission No,Adhar No,Blood Group
Student1,19-03-23,father1,mother1,male,,Bayar,8943868851,20-03-23,Uday (UKG),OBC,2A,12121,0,
Student2,19-03-23,father2,mother2,male,,Bayar,8943868851,20-03-23,Uday (UKG),OBC,2A,12121,0,
Student3,19-03-23,father3,mother3,male,,Bayar,8943868852,21-03-23,Uday (UKG),OBC,2A,12121,0,
Student4,19-03-23,father4,mother4,male,,Bayar,8943868853,22-03-23,Uday (UKG),OBC,2A,12121,0,
Student5,19-03-23,father5,mother5,male,,Bayar,8943868854,23-03-23,Uday (UKG),OBC,2A,12121,0,
Student6,19-03-23,father6,mother6,male,,Bayar,8943868855,24-03-23,Uday (UKG),OBC,2A,12121,0,
Student7,19-03-23,father7,mother7,male,,Bayar,8943868856,25-03-23,Uday (UKG),OBC,2A,12121,0,
Student8,19-03-23,father8,mother8,male,,Bayar,8943868857,26-03-23,Uday (UKG),OBC,2A,12121,0,
Student9,19-03-23,father9,mother9,male,,Bayar,8943868858,27-03-23,Uday (UKG),OBC,2A,12121,0,
Student10,19-03-23,father10,mother10,male,,Bayar,8943868859,28-03-23,Uday (UKG),OBC,2A,12121,0,
Student11,19-03-23,father11,mother11,male,,Bayar,8943868860,29-03-23,Uday (UKG),OBC,2A,12121,0,
Student12,19-03-23,father12,mother12,male,,Bayar,8943868861,30-03-23,Uday (UKG),OBC,2A,12121,0,
Student13,19-03-23,father13,mother13,male,,Bayar,8943868862,31-03-23,Uday (UKG),OBC,2A,12121,0,
Student14,19-03-23,father14,mother14,male,,Bayar,8943868863,01-04-23,Uday (UKG),OBC,2A,12121,0,
Student15,19-03-23,father15,mother15,male,,Bayar,8943868864,02-04-23,Uday (UKG),OBC,2A,12121,0,
Student16,19-03-23,father16,mother16,male,,Bayar,8943868865,03-04-23,Uday (UKG),OBC,2A,12121,0,
Student17,19-03-23,father17,mother17,male,,Bayar,8943868866,04-04-23,Uday (UKG),OBC,2A,12121,0,
Student18,19-03-23,father18,mother18,male,,Bayar,8943868867,05-04-23,Uday (UKG),OBC,2A,12121,0,
Student19,19-03-23,father19,mother19,male,,Bayar,8943868868,06-04-23,Uday (UKG),OBC,2A,12121,0,
