Name,Email/Username,Contact,Address,Type,GST/VAT NO,State
Northern Pharma,northern@gmial.com,123456789,,vendor,,
Rajesh,aaa@123,123456789,,customer,,
Sabari Distributors,sabari,"0499422490..,0499422319,703469",,vendor,32ABBFS8438G1Z6,
CANNANORE DRUG LINES,cdlkas1@gmail.com,4994220942,,vendor,,
NEHA ENTERPRISES,NEHA ENTERPRISES,8242526046,,vendor,29A,
CITY DRUG LINES,CITY DRUG LINES,4994220530,,vendor,,
SHREE RAKSHA PHARMA,SHREE RAKSHA PHARMA,9633954080,,vendor,,
MEDICURE PHARMA,MEDICURE PHARMA,7907507881,,vendor,,
AJANUR PHARMA,AJANUR PHARMA,4994223269,,vendor,,
NEO DRUGS,NEO DRUGS,9645087809,,vendor,,
DRUG WORLD,DRUG WORLD,4672206883,,vendor,,
SAI SURGICALS,SAI SURGICALS,4994223255,,vendor,,
medizone ,kasaragod,9447795542,,vendor,320,
DEVI PHARMA,SUDHA,9447449905,,vendor,138428,
HOSPICARE ,HOSPICARE,9447453504,,vendor,HOSPICARE,
V S PHARMA ,PRAVEEN,9446622754,,vendor,,
V S PHARMA ,9446622754,9446622754,,vendor,,
MAS-PHARMA,0467-2281173,4672281173,,vendor,,
PHARMA DISTRBUTORS ,49940224963,49940224963,,vendor,,
ANU PHARMA,ANU PHARMA,4672956281,,vendor,,
abbobaker,aboobker,99999999999,,vendor,1235,
APSARA MEDICAL DISTRIBUTION,APSARA MEDICAL DISBUTION,8242435029,,vendor,,
APSARA DISTRIBUTION,APSARA,82435029,,vendor,,
FERNS INCORPORATED,FERNS,7090701855,,customer,ORIGINAL,
FERNS INCORPORATED,824.3500027,9494987899,,vendor,,
NIRMAL AGENC*S M*LR,NIRMAL Age,9895227226,,customer,,
CENTRAL DRUG LINES,AAROGYA HITHA,,,customer,,
CENTRAL DRUG LINES,CENTRAL DRUG LINES,4994226290,,customer,,
CENTRAL DRUG LINES,CENRAL,01994-226623,,customer,,
HIND PHARMA DISTRIBUTORS,SUDHA  12345678,04972769754..,,vendor,,
FERNS INCORPORATED,AROGYA HITHA,,,customer,,
SWAPNA PHARMA,ARROGYA HITHA,,,customer,,
SWAPNABPHARMA,AAROGYA HITHA.,,,customer,,
SWAPNA PHARMA,AAROGYA HITHA..,,,customer,,
NIRMAL AGENCIES,AROGYA HITHA CLINIC,9495987899,,customer,,
nirmal Agencies,arogya hitha cilic,,,customer,,
FERNS INCORPORATED,AROGYA HITHA POLY CLINIC,9495987899,,vendor,,
SWAPNA PHARMA,SUDHA SHETTY,,,customer,,
FATHIMA  PHARMA,PRAVEEN KUMAR,9495987899,,customer,1Z0,
CENTRAL DRUG LINES,DR.PRAVEEN,9495987899,,customer,,
CENTRAL DISTRIBUTORS....,POLY CLINC,9495987899,,customer,9495987899,
DELTA PHARMA,DR.PRAVEEN KUMAR,9495987899,,customer,XX,
NIRMAL AGENCIES,***,***,,customer,***,
NIRMAL AGENCIES,AAROGYA HITHA POLIY CLINIC,,,customer,,
CENTRAL DISTRIBUTORS........,9494987899,9495987899,,customer,,
FATHIMA PHARMA,SUDHAMANI,9495987899,,customer,,
FATHIMA PHARMA,SUDHAMANI.K,9495987899,,customer,,
CENTRAL DISTRIBUTORS,aarogya hitha poli clinic,,,customer,,
FATHIMA PHARMA,SUDHAMANI .K,9495987899,,vendor,,
FATHIMA PHARMA,9495987899,9495987899,,customer,,
AJANUR PHARMA,DR.PRAVEEN.KUMAR,9495987899,,customer,,
DELTA PHARMA,AAROGYA HITHA POLI CLINC,9494987899,,customer,,
DELTA PHARMA......,AAROGYA HITHA POLI CLINIC.....,9495987899,,customer,,
DELTA  PHARMA......,AAROGYA HTHA.,9495987899,,vendor,,
SWAPNA PHARMA,AAROGYA HITHA.....,,,customer,9495987899,
FATHIMA PHARMA......,AAROGYA HITHA.......,9795987899,,customer,,
CENTRAL DISTRIBUTORS...,AAROGYA HITHA...,9895987899,,vendor,9795987899,
CENTRAL DISTRIBUTORS....,AAROGYA HITHA....,9495987899,,customer,,
SWAPNA PHARMA,AAROGIYA HITHA,122522,,vendor,9495987899,
SAI RADHA PHARMA,9495987899.....,9495987899,,vendor,,
VISNU PHARMA,7204679919,9495987899,,vendor,AAROGYA HITHA,
SWAPNA  PHARMA....,9495987899......,,,customer,,
ROYAL  AGENCIES,AAROGYAHITHA,9495987899,,vendor,,
S V PHARMA LINES,SHWETHA,,,customer,,
S V PHARMA LINES,dr praveen,9446736672,,vendor,,
